OS,SP,ARCH,FILE,MINVER,FIXVER,DIR,BULLETIN,KB
6,1,x86,Avifil32.dll,6.0.6001.20000,6.0.6001.18270,\System32,bulletin,kb
6,0,x86,Avifil32.dll,6.0.6000.20000,6.0.6000.21065,\System32,bulletin,kb
6,0,x86,Avifil32.dll,6.0.6000.20000,6.0.6000.16868,\System32,bulletin,kb
5.2,2,x86,Avifil32.dll,6.0.6000.20000,5.2.3790.4527,\System32,bulletin,kb
5.1,3,x86,Avifil32.dll,6.0.6000.20000,5.1.2600.5827,\System32,bulletin,kb
5.1,2,x64,Avifil32.dll,6.0.6000.20000,5.2.3790.4527,\System32,bulletin,kb
5.1,2,x86,Avifil32.dll,6.0.6000.20000,5.1.2600.3585,\System32,bulletin,kb
5,2,x86,Avifil32.dll,6.0.6000.20000,5.0.2195.7316,\System32,bulletin,kb
5.2,2,x86,Wins.exe,6.0.6000.20000,5.2.3790.4520,\System32,bulletin,kb
5,2,x86,Wins.exe,6.0.6000.20000,5.0.2195.7300,\System32,bulletin,kb
5,2,x86,Mqqm.dll,6.0.6000.20000,5.0.0.808,\system32,bulletin,kb
5.1,2,x86,Mqqm.dll,6.0.6000.20000,5.1.0.1111,\system32,bulletin,kb
5.2,2,x86,Mqqm.dll,6.0.6000.20000,5.2.2007.4530,\system32,bulletin,kb
6,0,x86,Mqqm.dll,6.0.6000.20000,6.0.6000.16871,\system32,bulletin,kb
6,0,x86,Mqqm.dll,6.0.6000.21000,6.0.6000.21068,\system32,bulletin,kb
5.1,2,x86,wkssvc.dll,6.0.6000.21000,5.1.2600.3584,\system32,bulletin,kb
5.1,3,x86,wkssvc.dll,6.0.6000.21000,5.1.2600.5826,\system32,bulletin,kb
